2^Росгосстрах Банк^0,102564102564103^1^0^1^0
3^Россельхозбанк^1^0,785180572851806^1^0^0
88^БАНК САНКТ-ПЕТЕРБУРГ^0,0641025641025641^0,0311332503113325^0^0^1
89^Уральский Транспортный банк^0,0128205128205128^0,0330012453300125^0^0^1
90^ЧЕЛИНДБАНК^0,371794871794872^0,0155666251556663^0^0^1
91^Восточно-Сибирский транспортный коммерческий банк^0,0256410256410256^0,0323785803237858^0^0^1
92^КС БАНК^0^0,0336239103362391^0^0^1
93^Балтийский Инвестиционный Банк^0,0769230769230769^0,0292652552926525^0^0^1
94^БФГ-Кредит^0,0512820512820513^0,0298879202988792^0^0^1
95^Всероссийский банк развития регионов^0,115384615384615^0,0273972602739726^0^0^1
96^Примсоцбанк^0,102564102564103^0,0280199252801993^0^0^1
97^СДМ-Банк^0,115384615384615^0,026774595267746^0^0^1
98^Торговый Городской Банк^0,0512820512820513^0,0305105853051059^0^0^1
99^ВУЗ-банк^0^0,0323785803237858^0^0^1
100^БыстроБанк^0,0128205128205128^0,0305105853051059^0^0^1
101^Самарский ипотечно-земельный банк^0,0128205128205128^0,0305105853051059^0^0^1
102^АГРОПРОМКРЕДИТ^0,141025641025641^0,0236612702366127^0^0^1
103^Таврический^0,0256410256410256^0,0292652552926525^0^0^1
104^ИНТЕРКОММЕРЦ^0,0897435897435897^0,0242839352428394^0^0^1
105^Легион^0,141025641025641^0,0217932752179327^0^0^1
106^Абсолют Банк^0,0769230769230769^0,0236612702366127^0^0^1
107^Дальневосточный банк^0,0512820512820513^0,024906600249066^0^0^1
108^МАСТ-Банк^0,0897435897435897^0,023038605230386^0^0^1
109^Первомайский^0^0,0273972602739726^0^0^1
110^ЮГ-Инвестбанк^0,0384615384615385^0,0255292652552927^0^0^1
111^БАНК ГОРОД^0,0384615384615385^0,024906600249066^0^0^1
112^ЕВРОКОММЕРЦ^0,0128205128205128^0,0261519302615193^0^0^1
113^Международный расчетный банк^0^0,026774595267746^0^0^1
114^ПромТрансБанк^0,0128205128205128^0,0261519302615193^0^0^1
115^РосинтерБанк^0,0512820512820513^0,0242839352428394^0^0^1
116^АКИБАНК^0,0897435897435897^0,0217932752179327^0^0^1
117^МЕТАЛЛУРГИЧЕСКИЙ ИНВЕСТИЦИОННЫЙ БАНК^0,0641025641025641^0,023038605230386^0^0^1
118^РОСЭНЕРГОБАНК^0,0769230769230769^0,0224159402241594^0^0^1
119^Фора - Оппортюнити Русский Банк^0^0,0261519302615193^0^0^1
120^Инвестиционный Банк ФИНАМ^0,0128205128205128^0,024906600249066^0^0^1
121^АйМаниБанк^0^0,024906600249066^0^0^1
122^Первый Объединенный Банк^0,0384615384615385^0,023038605230386^0^0^1
123^Вятка-банк^0,0128205128205128^0,023038605230386^0^0^1
124^РосЕвроБанк^0,0769230769230769^0,0205479452054794^0^0^1
125^СОЮЗ^0,0897435897435897^0,0199252801992528^0^0^1
126^Верхневолжский^0,0641025641025641^0,0205479452054794^0^0^1
127^Констанс-Банк^0^0,0236612702366127^0^0^1
128^ТАТСОЦБАНК^0^0,0236612702366127^0^0^1
129^Агроинвестиционный коммерческий банк^0,0256410256410256^0,0211706102117061^0^0^1
130^Енисейский объединенный банк^0,0128205128205128^0,0217932752179327^0^0^1
131^Курский промышленный банк^0^0,0224159402241594^0^0^1
132^Солид Банк^0,0897435897435897^0,0180572851805729^0^0^1
133^Автоградбанк^0,0641025641025641^0,0180572851805729^0^0^1
134^Инвестиционный капитал^0,0128205128205128^0,0211706102117061^0^0^1
135^ИНВЕСТРАСТБАНК^0,0641025641025641^0,0180572851805729^0^0^1
136^Крыловский^0,0128205128205128^0,0205479452054794^0^0^1
137^Ланта-Банк^0,0897435897435897^0,0168119551681196^0^0^1
138^Дагэнергобанк^0,0128205128205128^0,0186799501867995^0^0^1
139^Девон-Кредит^0,128205128205128^0,0136986301369863^0^0^1
140^Тихоокеанский Внешторгбанк^0^0,0205479452054794^0^0^1
141^Транспортный^0,0256410256410256^0,0193026151930262^0^0^1
142^ФИА-БАНК^0,0384615384615385^0,0186799501867995^0^0^1
143^ХАКАССКИЙ МУНИЦИПАЛЬНЫЙ БАНК^0^0,0205479452054794^0^0^1
144^Камский коммерческий банк^0,0128205128205128^0,0193026151930262^0^0^1
145^Хлынов^0^0,0199252801992528^0^0^1
146^Экономбанк^0,0128205128205128^0,0193026151930262^0^0^1
147^Автоторгбанк^0^0,0193026151930262^0^0^1
148^Алданзолотобанк^0,0128205128205128^0,0186799501867995^0^0^1
149^КОММЕРЧЕСКИЙ МЕЖРЕГИОНАЛЬНЫЙ ТРАСТОВЫЙ БАНК^0,0128205128205128^0,0186799501867995^0^0^1
150^Русский торгово-промышленный банк^0^0,0193026151930262^0^0^1
151^Балтика^0,0384615384615385^0,0168119551681196^0^0^1
152^Новый Кредитный Союз^0^0,0186799501867995^0^0^1
153^АВТОВАЗБАНК^0,0256410256410256^0,0161892901618929^0^0^1
154^Гринфилд^0,0512820512820513^0,0155666251556663^0^0^1
155^ЛЕНОБЛБАНК^0,0128205128205128^0,0174346201743462^0^0^1
156^МОССТРОЙЭКОНОМБАНК^0^0,0174346201743462^0^0^1
157^Сургутнефтегазбанк^0,0384615384615385^0,0155666251556663^0^0^1
158^ФОНДСЕРВИСБАНК^0,0769230769230769^0,0136986301369863^0^0^1
159^ДОМ-БАНК^0^0,0168119551681196^0^0^1
160^Ермак^0,0128205128205128^0,0161892901618929^0^0^1
161^Ижкомбанк^0^0,0168119551681196^0^0^1
162^Межрегиональный Клиринговый Банк^0,0128205128205128^0,0161892901618929^0^0^1
163^ФорБанк^0,0384615384615385^0,0149439601494396^0^0^1
164^АктивКапитал Банк^0,0641025641025641^0,012453300124533^0^0^1
165^БТА-Казань^0,0256410256410256^0,0149439601494396^0^0^1
166^Липецккомбанк^0,0256410256410256^0,0149439601494396^0^0^1
