0,2418^0,2883^0,2674^0,2302^0,0611^0,2843^0,1888^0,2230^0,2799^0,5867
0,1535^0,2632^0,2832^0,4936^0,3534^0,1863^0,4811^0,2088^0,1868^0,0000
0,3854^0,2841^0,1915^0,1552^0,3534^0,1628^0,4829^0,2445^0,2099^0,4628
0,2573^0,1844^0,2769^0,4896^0,2596^0,2765^0,1839^0,0522^0,2564^0,9000
0,4138^0,1894^0,0514^0,2759^0,5000^0,3752^0,5204^0,5171^0,2434^0,4097
0,2836^0,5283^0,2787^0,6299^0,4405^0,2911^0,2170^0,3633^0,2115^0,2285
0,3716^0,2287^0,2810^0,2802^0,4039^0,6539^0,4048^0,4840^0,3712^0,0000
0,3159^0,4345^0,4128^0,0729^0,2667^0,5573^0,4791^0,3867^0,2871^0,2770
0,2877^0,2090^0,2266^0,2612^0,2875^0,9000^0,4869^0,5420^0,2691^0,3647
0,9000^0,2090^0,3793^0,3507^0,2625^0,4150^0,3928^0,7704^0,9000^0,6303
0,5266^0,4382^0,4950^0,1000^0,2214^0,3791^0,3841^0,2237^0,2052^0,9000
0,2535^0,3197^0,2228^0,2929^0,2214^0,3783^0,2950^0,3559^0,2612^0,2541
0,6033^0,6843^0,2885^0,4013^0,4279^0,4605^0,6761^0,6531^0,2983^0,2342
0,1715^0,0850^0,4083^0,1870^0,2208^0,3366^0,4128^0,1793^0,1515^0,6850
0,2523^0,2570^0,0562^0,1553^0,5216^0,4020^0,4347^0,3129^0,2865^0,6522
0,9000^0,9000^0,8383^0,0529^0,5000^0,2978^0,4182^0,4424^0,2356^0,4118
0,4882^0,6470^0,1353^0,2974^0,1714^0,3027^0,4861^0,6836^0,2876^0,4838
0,9000^0,3507^0,9000^0,0518^0,3438^0,9000^0,9000^0,9000^0,2529^0,3684
0,0892^0,2771^0,0605^0,4077^0,3571^0,6076^0,2621^0,4878^0,1906^0,3891
0,3162^0,3586^0,2122^0,4399^0,5216^0,5098^0,6174^0,3645^0,3122^0,9000
0,1658^0,4735^0,2618^0,1939^0,4881^0,4755^0,5483^0,4070^0,4507^0,3973
0,6777^0,4310^0,2485^0,2364^0,5041^0,7902^0,6291^0,9000^0,9000^0,0561
0,2007^0,5861^0,9000^0,4464^0,6731^0,2832^0,2996^0,4945^0,3359^0,4591
0,1951^0,3505^0,1000^0,0600^0,2857^0,4540^0,2512^0,3831^0,4987^0,3492
0,2586^0,1648^0,4468^0,2576^0,6866^0,6171^0,4597^0,4878^0,3745^0,2310
0,2254^0,0840^0,1778^0,2576^0,6866^0,0500^0,3767^0,4944^0,2442^0,5065
0,9000^0,0840^0,2699^0,0000^0,9000^0,4013^0,6998^0,4944^0,6729^0,0000
0,3877^0,0700^0,4743^0,0776^0,4159^0,6710^0,6490^0,2708^0,2755^0,2287
0,3485^0,2742^0,9000^0,4571^0,0722^0,0577^0,7029^0,5454^0,2498^0,0000
0,7526^0,4235^0,7277^0,3670^0,5618^0,3724^0,5483^0,4573^0,3745^0,2155
0,1642^0,0554^0,0601^0,0788^0,3702^0,2863^0,2601^0,2396^0,2822^0,4652
0,2844^0,2741^0,2886^0,2741^0,6394^0,6947^0,4656^0,2746^0,4260^0,2437
0,5413^0,4129^0,6530^0,4399^0,5111^0,2763^0,6572^0,2939^0,2908^0,2419
0,1000^0,1000^0,0712^0,7251^0,1000^0,3791^0,0879^0,0618^0,1000^0,2073
0,1000^0,1000^0,2997^0,2716^0,1000^0,9000^0,5662^0,6399^0,1000^0,4707
0,2498^0,0710^0,1562^0,1000^0,2500^0,4510^0,4634^0,4270^0,4732^0,4220
0,1639^0,2516^0,8232^0,2741^0,1000^0,5388^0,4572^0,8200^0,5518^0,2468
0,1763^0,3956^0,1712^0,3535^0,1000^0,9000^0,5895^0,8496^0,1655^0,0000
0,1000^0,6064^0,0815^0,9000^0,0000^0,0695^0,1000^0,4069^0,1000^0,0000
0,4127^0,2507^0,2952^0,8650^0,9000^0,2059^0,3093^0,2730^0,4260^0,6773
